Title,Work Name,Ratting,Reviews,Website Link,Address,Area Served,Service Options,Phone Number,Total Photos,Open or Close Time,Questions,Profiles,Web Result,Short Description
Helmutt's Pet Supply,"Pet supply store in Toronto, Canada",4.8,115 reviews,http://helmuttspetsupply.ca/,"865 Queen St W, Toronto, ON M6J 1G4, Canada",Areas served:Toronto,Service options:In-store shopping· Kerbside pickup· Delivery,+1 416-504-1265,44+ Photos,Open ⋅ Closes 6pm,See all questions (4),['https://www.instagram.com/helmuttspetsupply/'],"['https://helmuttspetsupply.ca/', 'https://www.facebook.com/helmuttspetsupply/', 'https://helmuttspetsupply.ca/?page_id=419']",None
Bark & Meow Pet Supplies,"Pet store in Toronto, Canada",4.9,76 reviews,http://barkmeow.ca/,"712 Bloor St W, Toronto, ON M6G 1L4, Canada",None,Service options:In-store shopping· In-store pick-up,+1 416-532-2275,813+ Photos,Opens soon ⋅ 11am,See all questions (1),"['https://www.instagram.com/barkmeowpet/', 'https://ca.linkedin.com/in/ngcharles', 'https://www.facebook.com/712barkmeow/']","['https://barkmeow.ca/', 'https://www.facebook.com/712barkmeow/', 'https://www.facebook.com/groups/712BarkMeow/']",None
Moonlight Natural Pet Store,"Pet store in Vancouver, Canada",4.9,377 reviews,https://www.moonlightpetstore.com/vancouver/,"935 E Hastings St, Vancouver, BC V6A 1R9, Canada",Areas served:Richmond and nearby areas,Service options:In-store shopping· Kerbside pickup· Delivery,+1 604-559-3680,94+ Photos,Closed ⋅ Opens 10am,See all questions (2),['https://www.facebook.com/MoonlightDogCafe/'],"['https://www.moonlightpetstore.com/', 'https://www.facebook.com/MoonlightDogCafe/', 'https://www.moonlightpetstore.com/vancouver/']","""#1 Active Lifestyle Pet Store in Vancouver dedicated to providing the best pet food & supplies including bulk raw dog food. We believe that each pet is an individual and as such, advice on pet health and nutrition are customized. Despite the name...  More"
Wooftown,"Pet store in Toronto, Canada",4.8,255 reviews,http://wooftown.ca/,"10 Birch Ave, Toronto, ON M4V 1C8, Canada",Areas served:Toronto,Service options:In-store shopping· In-store pick-up· Delivery,+1 416-929-2840,63+ Photos,Open ⋅ Closes 6pm,See all questions (4),"['https://ca.linkedin.com/company/wooftown', 'https://www.facebook.com/wooftownTO/', 'https://www.instagram.com/wooftown/']","['https://wooftown.ca/', 'https://wooftown.com/', 'https://www.facebook.com/wooftownTO/']",None
Petview,"Pet store in Toronto, Canada",4.7,230 reviews,http://www.petview.ca/,"322 Queen St W, Toronto, ON M5V 2A5, Canada",None,Service options:In-store shopping· In-store pick-up· Delivery,+1 416-738-8439,43+ Photos,Opens soon ⋅ 11am,See all questions (3),['https://www.instagram.com/petview.ca/'],"['https://www.petview.ca/', 'https://m.facebook.com/profile.php?id=208010569228158', 'https://www.instagram.com/petview.ca/?hl=en']",None
Bones Pet Stores,"Pet store in Vancouver, Canada",4.7,298 reviews,http://bonesps.com/,"181 Smithe St, Vancouver, BC V6B 4Z8, Canada",None,Service options:In-store shopping· Kerbside pickup· Delivery,+1 604-559-2663,72+ Photos,Closed ⋅ Opens 11am,See all questions (2),[],"['https://www.bonesps.com/', 'https://www.facebook.com/bonesps/', 'https://www.bonesps.com/service/about/']","""Everything for dogs and cats. The best raw and dry food, simple treats, unique accessories, practical clothes, toys, beds. Custom tags in only a few minutes. We stock Orijen and Acana, Primal, Stella&Chewy's, Ruffwear, Barbour, Alessi, K9 Sport Sack,...  More"
GO Fetch,"Pet store in Kamloops, Canada",4.4,100 reviews,https://www.facebook.com/GoFetchKamloops/,"2-2101 Trans-Canada Hwy E, Kamloops, BC V2C 4A6, Canada",None,Service options:In-store shopping· Kerbside pickup· Delivery,+1 250-377-3730,None,Closed ⋅ Opens 10am,See all questions (6),['https://www.facebook.com/GoFetchKamloops/'],"['https://www.facebook.com/GoFetchKamloops/', 'https://www.facebook.com/GoFetchKamloops/?locale2=fy_NL', 'https://www.yellowpages.ca/bus/British-Columbia/Kamloops/GO-Fetch/7591078.html']",None
The Top Dog Store,"Pet store in Calgary, Canada",3.3,607 reviews,http://thetopdogstore.com/,"5010 4 St NE, Calgary, AB T2K 5X8, Canada",None,Service options:In-store shopping· In-store pick-up· Delivery,+1 403-719-8262,759+ Photos,Closed ⋅ Opens 10am,See all questions (28),"['https://www.facebook.com/petlandmarketmall/', 'https://www.instagram.com/thetopdogstore/', 'https://twitter.com/topdogstoresays']","['https://www.thetopdogstore.com/', 'https://www.thetopdogstore.com/adopt-puppies-in-calgary', 'https://www.facebook.com/petlandmarketmall/']","""The Top Dog Store has beautiful, healthy, happy puppies available to loving forever homes and families. You will find all puppies at The Top Dog Store are cared for under close veterinary supervision and our animal husbandry protocols employ best...  More"
Unleashed,Pet supply store,4.8,190 reviews,http://www.unleasheddogs.net/,"2715 14 St SW, Calgary, AB T2T 3V2, Canada",None,Service options:In-store shopping· In-store pick-up· Delivery,+1 403-245-0861,10+ Photos,Closed ⋅ Opens 10am,See all questions (2),[],"['https://www.unleasheddogs.net/', 'https://www.unleasheddogs.net/shop/', 'https://www.facebook.com/Unleashed-Inc-422255297792313/']",None
Small Wonders Pets,"Pet supply store in Toronto, Canada",4.7,174 reviews,http://smallwonderstoront.wix.com/smallwonderspets,"148 Danforth Ave, Toronto, ON M4K 1N1, Canada",Areas served:Toronto,Service options:In-store shopping· Kerbside pickup· Delivery,+1 416-462-3773,58+ Photos,Open ⋅ Closes 6pm,See all questions (2),"['https://www.instagram.com/smallwondersto/', 'https://www.facebook.com/smallwondersto/']","['https://www.smallwonderspets.com/', 'https://www.facebook.com/smallwondersto/', 'https://www.instagram.com/smallwondersto/']",None
Spoiled Paws,Pet supply store,4.9,49 reviews,http://spoiledpaws.ca/,"1255 Pacific Blvd, Vancouver, BC V6Z 2R6, Canada",Areas served:Gastown and nearby areas,Service options:In-store shopping· In-store pick-up· Delivery,+1 604-899-1220,286+ Photos,Closed ⋅ Opens 10am,None,['https://www.facebook.com/SpoiledPawsYaletown/'],"['http://www.spoiledpaws.ca/', 'https://spoiled-paws.business.site/', 'https://www.facebook.com/SpoiledPawsYaletown/']",None
All Pets,"Pet store in Toronto, Canada",4.6,262 reviews,http://allpetstoronto.com/,"451 Church St, Toronto, ON M4Y 2C5, Canada",Areas served:Toronto,Service options:In-store shopping· Kerbside pickup· Delivery,+1 416-901-7387,80+ Photos,Open ⋅ Closes 8pm,See all questions (5),[],"['https://www.allpetstoronto.com/', 'https://www.facebook.com/AllPetsToronto/', 'https://www.instagram.com/allpetstoronto/?hl=en']",None
Paws Pet Food & Accessories,"Pet supply store in Calgary, Canada",4.7,272 reviews,http://www.pawspetfood.ca/,"3204 17 Ave SW, Calgary, AB T3E 0B3, Canada",None,Service options:In-store shopping· In-store pick-up,+1 403-249-4944,28+ Photos,Opens soon ⋅ 9am,See all questions (3),['https://www.facebook.com/pawspetfood17/'],"['https://pawspetfood.ca/', 'https://www.facebook.com/pawspetfood17/', 'https://pawspetfood.ca/contact/17th-avenue/']",None
PetSmart,"Pet supply store in Hamilton, Canada",4.3,"1,542 reviews",https://www.petsmart.ca/stores/ca/on/stoney-creek-store1965.html?utm_source=google&utm_medium=organic&utm_campaign=google-my-business,"1779 Stone Church Rd E, Hamilton, ON L8J 0B4, Canada",None,Service options:In-store shopping· Kerbside pickup· Delivery,+1 905-578-1428,301+ Photos,Open ⋅ Closes 9pm,See all questions (16),[],"['https://www.petsmart.ca/stores/ca/on/hamilton-store2516.html', 'https://www.petsmart.ca/stores/ca/on/hamilton-store3171.html', 'https://stores.petsmart.com/ca/on/hamilton']","""PetSmart is the world's largest pet supply and services retailer, offering over 10,000 products in stores and online to meet all of your pet's needs. PetSmart offers a varied selection to cover the needs of your dogs, cats, birds, fish, amphibians,...  More"
A Pet's Life,"Pet supply store in Oak Bay, Canada",4.5,130 reviews,https://apetslife.ca/shopping,"2019 Cadboro Bay Rd, Victoria, BC V8R 5G4, Canada",Areas served:Victoria,Service options:In-store shopping· Kerbside pickup· Delivery,+1 250-592-3301,None,Closed ⋅ Opens 9am,See all questions (1),[],"['https://apetslife.ca/home/', 'https://www.facebook.com/APetsLife/', 'https://apetslife.ca/our-store/dog-food/']",None
myPet Shop on Yonge,"Pet store in Toronto, Canada",4.7,129 reviews,https://www.mypetshoponyonge.com/,"4720 Yonge St, North York, ON M2N 5M4, Canada",None,Service options:In-store shopping· Kerbside pickup· Delivery,+1 416-528-1788,49+ Photos,Open ⋅ Closes 6pm,See all questions (1),['https://www.facebook.com/mypetshoponyonge/'],"['https://www.facebook.com/mypetshoponyonge/', 'https://www.allbiz.ca/mypet-shop-on-yonge-416-528-1788', 'https://www.pointy.com/shops/canada/ontario/toronto/north-york/mypet-shop-on-yonge']",None
Sunshine Pet Supplies,Pet supply store in Canada,4.8,223 reviews,None,"3011 Louie Dr, Westbank, BC V4T 3E3, Canada",None,Service options:In-store shopping· In-store pick-up· Delivery,+1 250-707-3303,8+ Photos,Closed ⋅ Opens 9am,See all questions (6),"['https://ca.linkedin.com/in/sunshinepets', 'https://www.facebook.com/sunshinepetsupplies/', 'https://www.instagram.com/sunshinepetokanagan/']","['https://www.facebook.com/sunshinepetsupplies/', 'https://sunshinepetsupplies.etailpet.com/westbank-kelowna/', 'https://www.yellowpages.ca/bus/British-Columbia/Westbank/Sunshine-Pet-Supplies/7077834.html']",None
Leaside Pets,"Pet supply store in Toronto, Canada",4.9,80 reviews,http://leasidepets.com/,"1542 Bayview Ave, Toronto, ON M4G 3B6, Canada",None,Service options:In-store shopping· Kerbside pickup· Delivery,+1 416-546-3152,53+ Photos,Open ⋅ Closes 7pm,None,"['https://www.instagram.com/leasidepets/', 'https://www.facebook.com/leasidepetstoronto/']","['https://www.leasidepets.com/home', 'https://www.facebook.com/leasidepetstoronto/', 'https://www.leasideanimalclinic.com/']",None
PetSmart,"Pet supply store in Ottawa, Canada",4.2,684 reviews,https://www.petsmart.ca/stores/ca/on/nepean-store2013.html?utm_source=google&utm_medium=organic&utm_campaign=google-my-business,"3161 Greenbank Rd, Ottawa, ON K2J 4H9, Canada",None,Service options:In-store shopping· Kerbside pickup· Delivery,+1 613-843-9977,118+ Photos,Open ⋅ Closes 9pm,See all questions (4),[],"['https://www.petsmart.ca/stores/ca/on/ottawa-store2369.html', 'https://www.petsmart.ca/stores/ca/on/nepean-store0915.html', 'https://stores.petsmart.com/ca/on/ottawa']","""PetSmart is the world's largest pet supply and services retailer, offering over 10,000 products in stores and online to meet all of your pet's needs. PetSmart offers a varied selection to cover the needs of your dogs, cats, birds, fish, amphibians,...  More"
Petguin Canada,"Pet supply store in Vaughan, Canada",5.0,2 reviews,None,"201 Millway Ave, Concord, ON L4K 5K8, Canada",Areas served:Ontario,Service options:In-store shopping,+1 437-770-8222,13+ Photos,Open ⋅ Closes 12am,None,[],"['https://elitecustomdesignz.com/products/petguin-catsy-15a-cat-house-cat-furniture-cat-tree-cat-towers', 'https://elitecustomdesignz.com/products/lily-modern-cat-house', 'https://www.etsy.com/ca/shop/Petguin']","""What is your priority when you buy pet furniture? Is it how beautiful the furniture looks in your home, or how nature-friendly it is? You don't need to choose one of these. Because Petguin produces products that bring home decoration and pet needs...  More"
Timmie Queen West,"Pet supply store in Toronto, Canada",4.5,163 reviews,http://www.timmie.ca/,"867 Queen St W, Toronto, ON M6J 1G4, Canada",Areas served:Toronto,Service options:In-store shopping· Kerbside pickup· Delivery,+1 416-203-6789,129+ Photos,Open ⋅ Closes 6pm,None,[],"['https://timmie.ca/pages/locations', 'https://timmie.ca/', 'https://www.facebook.com/TimmieDoggieOutfitters/']",None
Our Dog & Company,"Pet supply store in Aurora, Canada",4.8,94 reviews,http://www.ourdogandcompany.com/,"129 Pedersen Dr, Aurora, ON L4G 0E3, Canada",Areas served:Aurora and nearby areas,Service options:In-store shopping· In-store pick-up,+1 905-713-3489,14+ Photos,Open ⋅ Closes 6pm,None,"['https://twitter.com/ourdogandco', 'https://www.instagram.com/ourdogandcompany/', 'https://www.facebook.com/ourdogandcompany/']","['http://ww.ourdogandcompany.com/', 'https://www.facebook.com/ourdogandcompany/', 'https://www.instagram.com/ourdogandcompany/?hl=en']",None
4 Your Pets,"Pet store in Fort Frances, Canada",3.6,17 reviews,https://4-your-pets.business.site/?utm_source=gmb&utm_medium=referral,"214 Scott St, Fort Frances, ON P9A 1G7, Canada",None,Service options:In-store shopping· In-store pick-up,+1 807-274-4224,36+ Photos,Closed ⋅ Opens 10am Mon,See all questions (3),"['https://www.facebook.com/4yourpets/', 'https://www.instagram.com/4yourpets214/']","['https://www.facebook.com/4yourpets/', 'https://4-your-pets.business.site/', 'https://www.yellowpages.ca/bus/Ontario/Fort-Frances/4-Your-Pets/100294248.html']",None
Downtown Pets & Aquarium,"Pet store in Toronto, Canada",3.2,281 reviews,https://downtown-pets-aquarium.business.site/,"CA ON Toronto Spadina / Sullivan, 222 Spadina Ave. Unit C26, M5T 3B3, Canada",None,Service options:In-store shopping· Delivery,+1 416-979-7978,201+ Photos,Closed ⋅ Opens 11:30am,See all questions (3),[],"['https://downtown-pets-aquarium.business.site/', 'https://www.instagram.com/downtownpetsto/?hl=en', 'https://foursquare.com/v/downtown-pets--aquarium/4ce6d013f3bda1431f25aee4']",None
Laura Jane's Pet Food & Supplies,"Pet supply store in Perth, Canada",4.8,126 reviews,http://laurajanespetfood.com/,"97 Dufferin St, Perth, ON K7H 3A5, Canada",None,Service options:In-store shopping· Kerbside pickup· Delivery,+1 613-466-0644,15+ Photos,Open ⋅ Closes 6pm,See all questions (7),[],"['https://laurajanespetfood.com/', 'https://www.facebook.com/LauraJanesPetFood/', 'https://www.dnb.com/business-directory/company-profiles.laura_janes_pet_food__supplies_inc.f5b1b5c5cdcbc0eb11bb41a8373c6591.html']",None
PawsNatural Pet Store,"Pet store in Toronto, Canada",4.9,72 reviews,http://pawsnatural.ca/,"3232 Yonge St, Toronto, ON M4N 2L4, Canada",Areas served:North York and nearby areas,Service options:In-store shopping· Kerbside pickup· Delivery,+1 416-571-8329,399+ Photos,Open ⋅ Closes 6pm,See all questions (2),[],"['https://pawsnatural.ca/', 'https://pawsnatural.ca/pages/contact-us', 'https://www.instagram.com/pawsnatural_pet/?hl=en']","""Welcome to PawsNatural Pet Store, your neighborhood's go-to destination for all things pet-related. Our knowledgeable staff is passionate about pet nutrition, ensuring that your furry friends receive the best care. We offer top-brand products and...  More"
Pet Planet,"Pet store in Pitt Meadows, Canada",4.5,73 reviews,http://www.petplanethealth.com/stores/pitt-meadows/,"19150 Lougheed Hwy. Unit 113, Pitt Meadows, BC V3Y 2H6, Canada",None,Service options:In-store shopping· In-store pick-up· Delivery,+1 604-460-7770,None,Closed ⋅ Opens 9am,See all questions (4),[],"['https://cart.shoppetplanet.com/shop_home/102200', 'https://shoppetplanet.com/', 'https://www.facebook.com/PetPlanetPittMeadows/']",None
Paws Pet Food & Accessories,"Pet store in Calgary, Canada",4.6,226 reviews,http://www.pawspetfood.ca/,"8403 Elbow Dr SW, Calgary, AB T2V 1K8, Canada",None,Service options:In-store shopping· Kerbside pickup· Delivery,+1 403-640-1666,33+ Photos,Open ⋅ Closes 6pm,See all questions (3),['https://www.facebook.com/pawselbow/'],"['https://pawspetfood.ca/', 'https://www.facebook.com/pawspetfood17/', 'https://pawspetfood.ca/contact/17th-avenue/']",None
Paws Pet Food & Accessories,"Pet supply store in High River, Canada",4.7,61 reviews,https://pawspetfood.ca/,"2003 10 Ave SE, High River, AB T1V 2A6, Canada",None,Service options:In-store shopping· In-store pick-up,+1 403-652-3300,None,Closed ⋅ Opens 10am,See all questions (1),[],"['https://pawspetfood.ca/contact/high-river/', 'https://pawspetfood.ca/', 'https://www.facebook.com/profile.php?id=100063562720836']",None
Blue Ribbon Pet Supply,"Pet store in Charlottetown, Canada",4.8,162 reviews,http://www.blueribbonpei.com/,"420 Queen St, Charlottetown, PE C1A 4E6, Canada",Areas served:North River and nearby areas,Service options:In-store shopping· Kerbside pickup· Delivery,+1 902-370-3373,63+ Photos,Open ⋅ Closes 6pm,See all questions (8),"['https://twitter.com/BlueRibbonPEI', 'https://www.facebook.com/BlueRibbonPetSupply/', 'https://www.instagram.com/blueribbonpetsupply/']","['https://www.facebook.com/BlueRibbonPetSupply/', 'https://m.facebook.com/BlueRibbonPetSupply/?locale=lv_LV', 'https://frommfamily.com/r/9071']","""We are Charlottetown's 100% locally owned pet supply store (not franchised or corporate). We have been proudly catering to your pets needs since 2010. We take pride in our products and are always striving for providing your pets with high quality...  More"
Wag On The Danforth,"Pet supply store in Toronto, Canada",4.9,99 reviews,http://www.wagonthedanforth.com/,"1918 Danforth Ave, Toronto, ON M4C 1J4, Canada",None,Service options:In-store shopping· Kerbside pickup· Delivery,+1 647-349-8263,12+ Photos,Open ⋅ Closes 5pm,See all questions (4),['https://www.instagram.com/wagdanforth/'],"['http://www.wagonthedanforth.com/', 'https://www.facebook.com/profile.php?id=100063524112382', 'https://www.instagram.com/wagdanforth/?hl=en']",None
Global Pet Foods,"Pet supply store in Lower Truro, Canada",4.6,143 reviews,https://truro.globalpetfoods.com/products/shop/,"Fundy Trail Centre, 68 Robie St #175, Truro, NS B2N 1L2, Canada",None,Service options:In-store shopping· Kerbside pickup,+1 902-895-4646,7+ Photos,Open ⋅ Closes 8pm,See all questions (6),['https://www.facebook.com/globalpetfoodstruro/'],"['https://globalpetfoods.com/', 'https://www.facebook.com/globalpetfoodstruro/', 'https://shop.globalpetfoods.com/']","""Global Pet Foods Truro is proudly locally owned and operated, and has been serving Truro and surrounding areas since 2010! We specialize in wholesome pet foods and supplements and have the best selection of pet toys, accessories, and quality,...  More"
Bones Pet Stores,"Pet supply store in Vancouver, Canada",4.7,12 reviews,http://bonesps.com/,"2501 W Broadway, Vancouver, BC V6K 2B4, Canada",Areas served:Kitsilano,Service options:In-store shopping· In-store pick-up· Delivery,+1 604-800-0238,14+ Photos,Closed ⋅ Opens 11am,None,[],"['https://www.bonesps.com/', 'https://www.facebook.com/bonesps/', 'https://www.bonesps.com/service/about/']",None
Mammoth Dog Beds,"Pet store in Markham, Canada",3.4,28 reviews,https://www.mammothdogbeds.com/,"93 Telson Rd, Markham, ON L3R 1E4, Canada",Areas served:Red Deer and nearby areas,Service options:Delivery,+1 888-364-2339,15+ Photos,Closed ⋅ Opens 9am Mon,None,[],"['https://www.mammothoutlet.ca/', 'https://www.mammothdogbeds.com/', 'https://www.mammothoutlet.ca/store/pet-beds/']","""Mammoth dog beds has been manufacturing quality designer and luxury dog beds since 1995 for all dogs including specializing in large and extra large dog breeds with special needs. Mammoth® is vet approved and the recommended brand for orthopedic...  More"
Chew That,"Pet store in Ottawa, Canada",4.9,15 reviews,https://chew-that.ca/,"141 Beechwood Ave., Ottawa, ON K1M 1L4, Canada",None,Service options:In-store shopping· In-store pick-up,+1 613-695-6448,10+ Photos,Open ⋅ Closes 4pm,None,['https://www.instagram.com/chew.that/'],"['https://www.facebook.com/chewthatfriends/', 'https://chew-that.ca/', 'https://www.instagram.com/chew.that/']",None
Dogfather & Co. Rosedale,"Pet groomer in Toronto, Canada",,,http://www.dogfatherandco.com/,"1007 Yonge St, Toronto, ON M4W 2K9, Canada",None,None,+1 416-960-1088 ext. 100,53+ Photos,Open ⋅ Closes 6:30pm,See all questions (4),"['https://ca.linkedin.com/company/dogfather-co', 'https://twitter.com/dogfatherandco', 'https://www.facebook.com/dogfatherandco/']","['https://dogfatherandco.com/', 'https://www.facebook.com/dogfatherandco/', 'https://dogfatherandco.com/contact/']","""With 2 locations in the heart of downtown Toronto, we have been serving the Rosedale and Yorkville communities since 2001. Dogfather specializes in unique and stylish products of the utmost quality (some only available at our shop!) Custom dog beds,...  More"
For Pet's Sake - Pet Food & Supplies,"Pet supply store in Squamish, Canada",4.6,19 reviews,http://forpetssake.etailpet.com/products/list/,"1313 Pemberton Ave, Squamish, BC V8B 0A4, Canada",None,Service options:In-store shopping,+1 604-390-3388,18+ Photos,Closed ⋅ Opens 10am,See all questions (1),[],"['https://www.facebook.com/p/For-Pets-Sake-Squamish-100050508251922/', 'https://naturawls.ca/retailer/for-pets-sake-squamish/', 'https://forpetssake.etailpet.com/stores/search/']",None
Love and Paws,"Pet supply store in Pickering, Canada",4.7,27 reviews,https://www.loveandpaws.ca/,"376 Kingston Rd, Pickering, ON L1V 6K4, Canada",Areas served:Pickering,Service options:In-store shopping· In-store pick-up· Delivery,+1 905-509-3417,20+ Photos,Open ⋅ Closes 5pm,None,[],"['https://loveandpaws.ca/', 'https://in.enrollbusiness.com/BusinessProfile/6357195/Love-and-Paws-Pickering-ON-L1V6K4', 'https://www.facebook.com/p/Therapeutic-Paws-of-Canada-AjaxPickering-100069793970394/']",None
The Bark,Pet supply store in Canada,5.0,9 reviews,http://thebarktreats.ca/,"20170 Fairview Rd, Thorndale, ON N0M 2P0, Canada",Areas served:Strathroy-Caradoc and nearby areas,Service options:In-store shopping,+1 289-339-6919,9+ Photos,Open 24 hours,None,['https://www.facebook.com/The.Barkk/'],"['https://www.thebarktreats.ca/', 'https://www.facebook.com/The.Barkk/', 'https://www.localline.ca/the-bark']",None
Cosmopawlitan,"Pet store in Toronto, Canada",4.3,132 reviews,http://cosmopawlitanpetboutique.ca/,"478 Queens Quay W, Toronto, ON M5V 2Y3, Canada",None,Service options:In-store shopping,+1 416-598-4700,46+ Photos,Open ⋅ Closes 6pm,See all questions (2),['https://www.facebook.com/Cosmopawlitan/'],"['https://www.cosmopawlitanpetboutique.ca/', 'https://www.facebook.com/Cosmopawlitan/', 'https://www.cosmopawlitanpetboutique.ca/grooming']",None
Spoil The Dog Bakery,Boutique,4.8,87 reviews,http://www.spoilthedogbakery.com/,"@ King, 4 Hachborn St W, St. Jacobs, ON N0B 2N0, Canada",None,Service options:In-store shopping· Kerbside pickup,+1 519-664-1724,145+ Photos,Open ⋅ Closes 5pm,See all questions (2),"['https://www.instagram.com/spoilthedogbakery/', 'https://www.facebook.com/spoildogbakery/', 'https://twitter.com/SpoilDogBakery']","['https://www.facebook.com/spoildogbakery/', 'https://spoilthedogbakery.myshopify.com/', 'https://www.stjacobsvillage.com/spoil-the-dog']","""Pet Boutique & Bakery. Wheat-free, Organic, Grain-Free treats baked in store. Bakery case with Butter Tarts, Donuts, Cupcakes etc. for Dogs. We also have Happy BARKday cakes, Bones & Birthday Boxes. Looking for a special gift for a pet-lover? We have...  More"
Love Your Pet,"Pet store in Kemptville, Canada",4.7,108 reviews,http://loveyourpetkemptville.com/,"2600 County Rd 43, Kemptville, ON K0G 1J0, Canada",None,Service options:In-store shopping· Kerbside pickup· Delivery,+1 613-258-1376,25+ Photos,Open ⋅ Closes 5pm,See all questions (8),[],"['https://www.instagram.com/loveyourpetkemptville/?hl=en', 'https://directory.leedsgrenville.com/Home/View/love-your-pet', 'https://dan.com/buy-domain/loveyourpetkemptville.com']","""Pet supply store featuring live animals and freshwater fish. Located in the Kemptville Mall. Proud retailer of Fromm Family Pet Food for cats and dogs. Reptiles, birds, small animals for sale. Supplies and live/frozen feeders. Independently owned and...  More"
Derek's Pet Shop,"Pet store in Moncton, Canada",4.4,65 reviews,None,"219 Lewisville Rd, Moncton, NB E1A 2R4, Canada",None,Service options:In-store shopping· In-store pick-up,+1 506-388-5281,13+ Photos,Open ⋅ Closes 6pm,See all questions (5),['https://www.facebook.com/DereksPetShop/'],"['https://www.facebook.com/DereksPetShop/', 'https://www.facebook.com/dereksreefshop/', 'https://ca.linkedin.com/in/derek-s-pet-shop-derek-a9236423b']",None
The Depot,Pet supply store,4.6,41 reviews,None,"44 Sinasac St W, Harrow, ON N0R 1G0, Canada",None,Service options:In-store shopping· Kerbside pickup· Delivery,+1 519-816-6599,20+ Photos,Open ⋅ Closes 4pm,None,['https://www.facebook.com/harrowcountrydepot/'],"['https://www.facebook.com/harrowcountrydepot/', 'https://www.allbiz.ca/the-depot_10m-519-816-6599', 'https://frommfamily.com/r/9282']",None
Harness Hardware Inc,"Hardware store in Wallenstein, Canada",4.7,7 reviews,http://www.harnesshardware.ca/,"4410 Lawson Line, Wallenstein, ON N0B 2S0, Canada",None,Service options:In-store shopping· In-store pick-up· Delivery,+1 519-698-2638,None,Closed ⋅ Opens 7:30am Mon,None,[],"['https://harnesshardware.ca/', 'https://harnesshardware.ca/contact', 'https://www.dnb.com/business-directory/company-profiles.harness_hardware_inc.054a884b21525886eeb501e4c2cb51fe.html']",None
Healthy Bird,"Pet supply store in Wellington, Nova Scotia, Canada",4.9,39 reviews,http://www.healthybird.net/,"4074 NS-2, Wellington, NS B2T 0B5, Canada",None,Service options:In-store shopping· In-store pick-up,+1 902-860-0112,None,Open ⋅ Closes 6pm,See all questions (1),[],"['https://www.facebook.com/healthybird.net/', 'http://www.healthybird.net/catalog/', 'https://www.facebook.com/healthybird.net/?locale=pt_BR']",None
